10:17:21 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:13 PM; 0:4:10; 100%; 2.823672 m2
10:23:07 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:18 PM; 0:4:11; 100%; 2.823672 m2
10:29:16 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:25 PM; 0:4:10; 100%; 2.823672 m2
10:35:13 PM : C:\Users\graphics\Desktop\RIP FILE\18.prn; 12/4/2019-10:29 PM; 0:5:16; 100%; 3.778057 m2
10:44:03 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:35 PM; 0:8:21; 100%; 2.823672 m2
10:49:53 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:45 PM; 0:4:11; 100%; 2.823672 m2
10:55:06 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/4/2019-10:50 PM; 0:4:11; 100%; 2.823672 m2
11:42:24 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:38 PM; 0:3:31; 100%; 2.229673 m2
11:45:59 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:42 PM; 0:3:31; 100%; 2.229673 m2
11:49:39 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:46 PM; 0:3:30; 100%; 2.229673 m2
11:53:14 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:49 PM; 0:3:31; 100%; 2.229673 m2
11:56:47 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:53 PM; 0:3:31; 100%; 2.229673 m2
12:00:33 AM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/4/2019-11:57 PM; 0:3:31; 100%; 2.229673 m2
12:06:46 AM : C:\Users\graphics\Desktop\RIP FILE\20.prn; 12/5/2019-12:05 AM; 0:1:30; 100%; 0.8361273 m2
12:10:46 AM : C:\Users\graphics\Desktop\RIP FILE\21.prn; 12/5/2019-12:07 AM; 0:3:20; 100%; 1.858061 m2
12:14:18 AM : C:\Users\graphics\Desktop\RIP FILE\22.prn; 12/5/2019-12:10 AM; 0:3:20; 100%; 1.858061 m2
12:32:49 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:31 AM; 0:1:45; 93%; 0.7775984 m2
12:35:38 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:33 AM; 0:2:21; 52%; 0.4347862 m2
12:37:27 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:35 AM; 0:1:46; 100%; 0.8361273 m2
12:39:17 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:37 AM; 0:1:46; 100%; 0.8361273 m2
12:41:05 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:39 AM; 0:1:46; 100%; 0.8361273 m2
12:42:54 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:41 AM; 0:1:46; 100%; 0.8361273 m2
12:44:43 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:42 AM; 0:1:45; 100%; 0.8361273 m2
12:47:48 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:45 AM; 0:2:10; 100%; 0.8361273 m2
12:49:34 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:47 AM; 0:1:46; 100%; 0.8361273 m2
12:53:26 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:49 AM; 0:3:51; 100%; 0.8361273 m2
12:55:49 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:53 AM; 0:2:22; 100%; 0.8361273 m2
12:57:36 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:55 AM; 0:1:46; 100%; 0.8361273 m2
12:59:40 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:57 AM; 0:1:46; 100%; 0.8361273 m2
1:01:26 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-12:59 AM; 0:1:46; 100%; 0.8361273 m2
1:03:13 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-1:01 AM; 0:1:46; 100%; 0.8361273 m2
1:04:59 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-1:03 AM; 0:1:46; 100%; 0.8361273 m2
1:06:46 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-1:05 AM; 0:1:46; 100%; 0.8361273 m2
1:09:15 AM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-1:07 AM; 0:1:46; 100%; 0.8361273 m2
11:36:13 AM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/5/2019-11:32 AM; 0:3:42; 100%; 1.672255 m2
11:39:18 AM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/5/2019-11:36 AM; 0:3:2; 100%; 1.672255 m2
11:42:23 AM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/5/2019-11:39 AM; 0:3:2; 100%; 1.672255 m2
11:57:19 AM : C:\Users\graphics\Desktop\RIP FILE\25.prn; 12/5/2019-11:51 AM; 0:6:3; 100%; 4.250314 m2
12:10:31 PM : C:\Users\graphics\Desktop\RIP FILE\26.prn; 12/5/2019-12:02 PM; 0:7:47; 38%; 0.4236379 m2
12:17:07 PM : C:\Users\graphics\Desktop\RIP FILE\28.prn; 12/5/2019-12:11 PM; 0:5:43; 100%; 1.114836 m2
1:30:55 PM : C:\Users\graphics\Desktop\RIP FILE\1.prn; 12/5/2019-1:30 PM; 0:0:16; 0%; 0 m2
1:41:00 PM : C:\Users\graphics\Desktop\RIP FILE\1.prn; 12/5/2019-1:31 PM; 0:9:56; 100%; 4.721281 m2
1:54:52 PM : C:\Users\graphics\Desktop\RIP FILE\2.prn; 12/5/2019-1:45 PM; 0:8:52; 100%; 3.79225 m2
1:57:47 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/5/2019-1:55 PM; 0:2:45; 100%; 1.114836 m2
2:18:00 PM : C:\Users\graphics\Desktop\RIP FILE\4.prn; 12/5/2019-2:18 PM; 0:0:0; 0%; 0 m2
2:19:17 PM : C:\Users\graphics\Desktop\RIP FILE\4.prn; 12/5/2019-2:18 PM; 0:1:13; 100%; 0.5574182 m2
2:20:39 PM : C:\Users\graphics\Desktop\RIP FILE\5.prn; 12/5/2019-2:19 PM; 0:1:13; 100%; 0.5574182 m2
2:24:18 PM : C:\Users\graphics\Desktop\RIP FILE\6.prn; 12/5/2019-2:22 PM; 0:1:27; 100%; 0.6967728 m2
2:29:54 PM : C:\Users\graphics\Desktop\RIP FILE\7.prn; 12/5/2019-2:28 PM; 0:1:27; 100%; 0.7432243 m2
2:31:34 PM : C:\Users\graphics\Desktop\RIP FILE\8.prn; 12/5/2019-2:30 PM; 0:1:27; 100%; 0.7432243 m2
6:19:07 PM : C:\Users\graphics\Desktop\RIP FILE\9.prn; 12/5/2019-6:15 PM; 0:3:39; 100%; 0.7432243 m2
6:21:40 PM : C:\Users\graphics\Desktop\RIP FILE\11.prn; 12/5/2019-6:21 PM; 0:0:0; 0%; 0 m2
6:25:45 PM : C:\Users\graphics\Desktop\RIP FILE\11.prn; 12/5/2019-6:21 PM; 0:4:0; 100%; 2.229673 m2
6:29:47 PM : C:\Users\graphics\Desktop\RIP FILE\11.prn; 12/5/2019-6:25 PM; 0:4:0; 100%; 2.229673 m2
6:33:56 PM : C:\Users\graphics\Desktop\RIP FILE\12.prn; 12/5/2019-6:29 PM; 0:4:0; 100%; 2.229673 m2
6:51:39 PM : C:\Users\graphics\Desktop\RIP FILE\13.prn; 12/5/2019-6:49 PM; 0:1:53; 6%; 0.7803855 m2
6:54:54 PM : C:\Users\graphics\Desktop\RIP FILE\13.prn; 12/5/2019-6:51 PM; 0:3:10; 10%; 1.300642 m2
7:21:35 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/5/2019-7:15 PM; 0:6:31; 100%; 3.716122 m2
7:24:58 PM : C:\Users\graphics\Desktop\RIP FILE\16.prn; 12/5/2019-7:21 PM; 0:3:11; 100%; 1.486449 m2
7:35:47 PM : C:\Users\graphics\Desktop\RIP FILE\17.prn; 12/5/2019-7:29 PM; 0:5:57; 100%; 2.508382 m2
7:37:14 PM : C:\Users\graphics\Desktop\RIP FILE\18.prn; 12/5/2019-7:36 PM; 0:1:13; 100%; 0.5574182 m2
7:39:09 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/5/2019-7:37 PM; 0:1:46; 100%; 0.5574182 m2
7:41:28 PM : C:\Users\graphics\Desktop\RIP FILE\20.prn; 12/5/2019-7:40 PM; 0:1:13; 100%; 0.5574182 m2
7:49:07 PM : C:\Users\graphics\Desktop\RIP FILE\21.prn; 12/5/2019-7:45 PM; 0:3:21; 100%; 1.858061 m2
7:58:13 PM : C:\Users\graphics\Desktop\RIP FILE\22.prn; 12/5/2019-7:54 PM; 0:3:24; 100%; 0.4180637 m2
8:10:24 PM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/5/2019-8:06 PM; 0:3:39; 100%; 0.4645152 m2
11:19:50 PM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/5/2019-11:18 PM; 0:1:18; 100%; 0.290322 m2
11:23:21 PM : C:\Users\graphics\Desktop\RIP FILE\25.prn; 12/5/2019-11:22 PM; 0:1:18; 100%; 0.290322 m2
11:24:47 PM : C:\Users\graphics\Desktop\RIP FILE\26.prn; 12/5/2019-11:23 PM; 0:1:18; 100%; 0.290322 m2
11:26:14 PM : C:\Users\graphics\Desktop\RIP FILE\26.prn; 12/5/2019-11:24 PM; 0:1:18; 100%; 0.290322 m2
11:28:00 PM : C:\Users\graphics\Desktop\RIP FILE\27.prn; 12/5/2019-11:26 PM; 0:1:18; 100%; 0.290322 m2
11:37:32 PM : C:\Users\graphics\Desktop\RIP FILE\28.prn; 12/5/2019-11:36 PM; 0:1:18; 100%; 0.290322 m2
11:44:57 PM : C:\Users\graphics\Desktop\RIP FILE\29.prn; 12/5/2019-11:43 PM; 0:0:58; 100%; 0.2090318 m2
11:45:58 PM : C:\Users\graphics\Desktop\RIP FILE\30.prn; 12/5/2019-11:45 PM; 0:0:58; 100%; 0.2090318 m2
11:53:23 PM : C:\Users\graphics\Desktop\RIP FILE\31.prn; 12/5/2019-11:48 PM; 0:4:52; 100%; 1.114836 m2
11:54:53 PM : C:\Users\graphics\Desktop\RIP FILE\32.prn; 12/5/2019-11:53 PM; 0:1:13; 100%; 0.5574182 m2
11:55:37 PM : C:\Users\graphics\Desktop\RIP FILE\33.prn; 12/5/2019-11:55 PM; 0:0:33; 8%; 0.2006706 m2
11:57:52 PM : C:\Users\graphics\Desktop\RIP FILE\33.prn; 12/5/2019-11:55 PM; 0:2:1; 38%; 0.9531852 m2
12:06:06 AM : C:\Users\graphics\Desktop\RIP FILE\33.prn; 12/5/2019-11:58 PM; 0:7:56; 100%; 2.508382 m2
12:30:20 AM : C:\Users\graphics\Desktop\RIP FILE\34.prn; 12/6/2019-12:23 AM; 0:7:3; 100%; 2.787091 m2
12:41:14 AM : C:\Users\graphics\Desktop\RIP FILE\9.prn; 12/6/2019-12:38 AM; 0:2:30; 100%; 0.7432243 m2
12:46:08 AM : C:\Users\graphics\Desktop\RIP FILE\35.prn; 12/6/2019-12:45 AM; 0:0:58; 5%; 0.1184514 m2
12:56:54 AM : C:\Users\graphics\Desktop\RIP FILE\35.prn; 12/6/2019-12:46 AM; 0:10:33; 100%; 2.369027 m2
5:07:23 PM : C:\Users\graphics\Desktop\aa.prn; 12/6/2019-5:06 PM; 0:1:5; 100%; 0.1756486 m2
5:08:51 PM : C:\Users\graphics\Desktop\RIP FILE\1.prn; 12/6/2019-5:08 PM; 0:0:34; 100%; 0.1756486 m2
5:39:41 PM : C:\Users\graphics\Desktop\RIP FILE\2.prn; 12/6/2019-5:38 PM; 0:1:17; 100%; 0.2380234 m2
5:43:08 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-5:42 PM; 0:0:42; 100%; 0.2380234 m2
5:43:56 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-5:43 PM; 0:0:42; 100%; 0.2380234 m2
5:45:25 PM : C:\Users\graphics\Desktop\RIP FILE\2.prn; 12/6/2019-5:44 PM; 0:1:17; 100%; 0.2380234 m2
5:48:04 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-5:47 PM; 0:0:42; 100%; 0.2380234 m2
5:55:43 PM : C:\Users\graphics\Desktop\RIP FILE\1.prn; 12/6/2019-5:55 PM; 0:0:20; 0%; 0 m2
5:57:14 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-5:56 PM; 0:0:24; 100%; 0.2380234 m2
5:59:02 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-5:57 PM; 0:1:9; 100%; 0.9802597 m2
6:10:18 PM : C:\Users\graphics\Desktop\RIP FILE\3.prn; 12/6/2019-6:10 PM; 0:0:12; 0%; 0 m2
6:12:49 PM : C:\Users\graphics\Desktop\RIP FILE\4.prn; 12/6/2019-6:10 PM; 0:2:24; 96%; 0.9597103 m2
6:18:16 PM : C:\Users\graphics\Desktop\RIP FILE\5.prn; 12/6/2019-6:17 PM; 0:0:20; 1%; 0.04500859 m2
6:19:06 PM : C:\Users\graphics\Desktop\RIP FILE\5.prn; 12/6/2019-6:18 PM; 0:0:14; 0%; 0 m2
6:24:00 PM : C:\Users\graphics\Desktop\RIP FILE\5.prn; 12/6/2019-6:19 PM; 0:4:43; 100%; 4.500859 m2
6:28:11 PM : C:\Users\graphics\Desktop\RIP FILE\5.prn; 12/6/2019-6:25 PM; 0:2:45; 100%; 4.500859 m2
6:41:16 PM : C:\Users\graphics\Desktop\RIP FILE\7.prn; 12/6/2019-6:37 PM; 0:3:22; 100%; 0.9463277 m2
6:43:25 PM : C:\Users\graphics\Desktop\RIP FILE\8.prn; 12/6/2019-6:41 PM; 0:1:56; 100%; 0.9463277 m2
6:44:54 PM : C:\Users\graphics\Desktop\RIP FILE\9.prn; 12/6/2019-6:43 PM; 0:1:3; 100%; 0.9290304 m2
6:46:39 PM : C:\Users\graphics\Desktop\RIP FILE\10.prn; 12/6/2019-6:46 PM; 0:0:36; 100%; 0.9290304 m2
6:48:52 PM : C:\Users\graphics\Desktop\RIP FILE\11.prn; 12/6/2019-6:48 PM; 0:0:29; 100%; 0.9290304 m2
6:50:14 PM : C:\Users\graphics\Desktop\RIP FILE\12.prn; 12/6/2019-6:49 PM; 0:0:29; 100%; 0.9290304 m2
6:51:24 PM : C:\Users\graphics\Desktop\RIP FILE\13.prn; 12/6/2019-6:50 PM; 0:0:51; 100%; 0.9290304 m2
6:59:20 PM : C:\Users\graphics\Desktop\RIP FILE\14.prn; 12/6/2019-6:55 PM; 0:4:15; 100%; 4.626571 m2
7:11:10 PM : C:\Users\graphics\Desktop\RIP FILE\16.prn; 12/6/2019-7:10 PM; 0:0:59; 100%; 1.114836 m2
7:12:29 PM : C:\Users\graphics\Desktop\RIP FILE\17.prn; 12/6/2019-7:11 PM; 0:0:59; 100%; 1.114836 m2
8:28:34 PM : C:\Users\graphics\Desktop\RIP FILE\18..prn; 12/6/2019-8:28 PM; 0:0:15; 0%; 0 m2
8:35:43 PM : C:\Users\graphics\Desktop\RIP FILE\18..prn; 12/6/2019-8:28 PM; 0:6:45; 100%; 7.803855 m2
8:50:41 PM : C:\Users\graphics\Desktop\RIP FILE\19.prn; 12/6/2019-8:49 PM; 0:1:5; 100%; 0.4180637 m2
9:02:37 PM : C:\Users\graphics\Desktop\RIP FILE\20.prn; 12/6/2019-8:58 PM; 0:3:49; 100%; 2.787091 m2
9:08:12 PM : C:\Users\graphics\Desktop\RIP FILE\22.prn; 12/6/2019-9:06 PM; 0:1:47; 100%; 1.672255 m2
9:10:15 PM : C:\Users\graphics\Desktop\RIP FILE\23.prn; 12/6/2019-9:08 PM; 0:1:47; 100%; 1.393546 m2
9:11:49 PM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/6/2019-9:10 PM; 0:1:25; 100%; 1.138062 m2
9:13:24 PM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/6/2019-9:11 PM; 0:1:28; 100%; 1.138062 m2
9:15:02 PM : C:\Users\graphics\Desktop\RIP FILE\24.prn; 12/6/2019-9:13 PM; 0:1:27; 100%; 1.138062 m2
9:31:41 PM : C:\Users\graphics\Desktop\RIP FILE\25.prn; 12/6/2019-9:20 PM; 0:11:27; 100%; 6.689019 m2
9:43:33 PM : C:\Users\graphics\Desktop\RIP FILE\25.prn; 12/6/2019-9:32 PM; 0:11:27; 100%; 6.689019 m2
9:55:26 PM : C:\Users\graphics\Desktop\RIP FILE\25.prn; 12/6/2019-9:43 PM; 0:11:27; 100%; 6.689019 m2
11:53:42 AM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/7/2019-11:52 AM; 0:1:2; 5%; 0.9290303 m2
12:03:10 PM : C:\Users\graphics\Desktop\RIP FILE\15.prn; 12/7/2019-11:54 AM; 0:9:6; 100%; 18.58061 m2
12:10:47 PM : C:\Users\graphics\Desktop\RIP FILE\2233.prn; 12/7/2019-12:10 PM; 0:0:32; 60%; 0.5574182 m2
12:14:40 PM : C:\Users\graphics\Desktop\RIP FILE\2233.prn; 12/7/2019-12:14 PM; 0:0:30; 87%; 0.8082564 m2
12:15:39 PM : C:\Users\graphics\Desktop\RIP FILE\2233.prn; 12/7/2019-12:15 PM; 0:0:37; 87%; 0.8082564 m2
2:20:54 PM : C:\Users\graphics\Desktop\RIP FILE\277.prn; 12/7/2019-2:13 PM; 0:7:20; 100%; 4.180637 m2
2:23:11 PM : C:\Users\graphics\Desktop\RIP FILE\new.prn; 12/7/2019-2:22 PM; 0:0:16; 1%; 0.04180637 m2
